Sample_unique_id,Treat,Plate,library,Cell,Dose,Time,Compound name,Catalog Number,Catalog Number.1,smiles
sample2_867,Compd0651,Plate7,2,293T,10uM,24h,Isovitexin,Cpd0651,38953-85-4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O
sample2_868,Compd0652,Plate7,2,293T,10uM,24h,Isokadsuranin,Cpd0652,82467-52-5,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3
sample2_869,Compd0653,Plate7,2,293T,10uM,24h,Isoimperatorin,Cpd0653,482-45-1,CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C
sample2_87,Compd0487,Plate5,2,293T,10uM,24h,Genistin,Cpd0487,529-59-9,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O
sample2_870,Compd0654,Plate7,2,293T,10uM,24h,"Isodemethylwed
elolactone",Cpd0654,350681-33-3,C1=C(C=C(C2=C1C3=C(C4=CC(=C(C=C4O3)O)O)C(=O)O2)O)O
sample2_871,Compd0655,Plate7,2,293T,10uM,24h,Corynoxeine,Cpd0655,630-94-4,COC=C(C1CC2C3(CCN2CC1C=C)C4=CC=CC=C4NC3=O)C(=O)OC
sample2_872,Compd0656,Plate7,2,293T,10uM,24h,Cnidilin,Cpd0656,14348-22-2,CC(=CCOC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC)C
sample2_873,Compd0657,Plate7,2,293T,10uM,24h,"Isorhamnetin
3-sophoroside-7
-rhamnoside",Cpd0657,41328-75-0,CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)C6=CC(=C(C=C6)O)OC)O)O)O)O
sample2_874,Compd0658,Plate7,2,293T,10uM,24h,"Isorhamnetin
3-glucoside-7-rh amnoside",Cpd0658,17331-71-4,CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)OC4C(C(C(C(O4)CO)O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O
sample2_875,Compd0659,Plate7,2,293T,10uM,24h,"Isorhamnetin
3-O-neohespeid oside",Cpd0659,55033-90-4,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)CO)O)O)O)O)O
sample2_876,Compd0660,Plate7,2,293T,10uM,24h,Isoalantolactone,Cpd0660,470-17-7,CC12CCCC(=C)C1CC3C(C2)OC(=O)C3=C
sample2_877,Compd0661,Plate7,2,293T,10uM,24h,Isoschaftoside,Cpd0661,52012-29-0,C1C(C(C(C(O1)C2=C(C(=C3C(=C2O)C(=O)C=C(O3)C4=CC=C(C=C4)O)C5C(C(C(C(O5)CO)O)O)O)O)O)O)O
sample2_878,Compd0662,Plate7,2,293T,10uM,24h,Isosakuranetin,Cpd0662,480-43-3,COC1=CC=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O
sample2_879,Compd0663,Plate7,2,293T,10uM,24h,Marmesin,Cpd0663,13849-08-6,CC(C)(C1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O
sample2_88,Compd0488,Plate5,2,293T,10uM,24h,genistein,Cpd0488,446-72-0,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
sample2_880,Compd0664,Plate7,2,293T,10uM,24h,Icariin,Cpd0664,489-32-7,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)O)O)O
sample2_881,Compd0665,Plate7,2,293T,10uM,24h,Icaritin,Cpd0665,118525-40-9,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=CC=C(C=C3)OC)O)C
sample2_882,Compd0666,Plate7,2,293T,10uM,24h,Epimedoside A,Cpd0666,39012-04-9,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)O)O)O)O
sample2_883,Compd0667,Plate7,2,293T,10uM,24h,Ginkgolic    acid 15:1,Cpd0667,22910-60-7,CCCCCCC=CCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
sample2_884,Compd0668,Plate7,2,293T,10uM,24h,Ginkgolic    acid 17:1,Cpd0668,111047-30-4,CCCCCCC=CCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O
sample2_885,Compd0669,Plate7,2,293T,10uM,24h,Ginkgolide A,Cpd0669,15291-75-5,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O
sample2_886,Compd0670,Plate7,2,293T,10uM,24h,Ginkgolide B,Cpd0670,15291-77-7,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O
sample2_887,Compd0671,Plate7,2,293T,10uM,24h,Ginkgolide C,Cpd0671,15291-76-6,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5O)C(C)(C)C)C(C(=O)OC6O4)O)O
sample2_888,Compd0672,Plate7,2,293T,10uM,24h,Ginkgolide J,Cpd0672,107438-79-9,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2)C6(C(C5O)C(C)(C)C)C(C(=O)OC6O4)O)O
sample2_889,Compd0673,Plate7,2,293T,10uM,24h,Cryptotanshinon e,Cpd0673,35825-57-1,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
sample2_89,Compd0489,Plate5,2,293T,10uM,24h,"Ginsenoside
Rb1",Cpd0489,41753-43-9,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C
sample2_890,Compd0674,Plate7,2,293T,10uM,24h,Cryptochloroge nic acid,Cpd0674,905-99-7,C1C(C(C(CC1(C(=O)O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O
sample2_891,Compd0675,Plate7,2,293T,10uM,24h,Biochanin A,Cpd0675,491-80-5,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
sample2_892,Compd0676,Plate7,2,293T,10uM,24h,Naringin,Cpd0676,10236-47-2,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
sample2_893,Compd0677,Plate7,2,293T,10uM,24h,(±)-Naringenin,Cpd0677,67604-48-2,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
sample2_894,Compd0678,Plate7,2,293T,10uM,24h,Guaiacin,Cpd0678,36531-08-5,CC1CC2=CC(=C(C=C2C(C1C)C3=CC(=C(C=C3)O)OC)O)OC
sample2_895,Compd0679,Plate7,2,293T,10uM,24h,Protopine,Cpd0679,130-86-9,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3
sample2_896,Compd0680,Plate7,2,293T,10uM,24h,Protocatechuic acid,Cpd0680,99-50-3,C1=CC(=C(C=C1C(=O)O)O)O
sample2_897,Compd0681,Plate7,2,293T,10uM,24h,Protodioscin,Cpd0681,55056-80-9,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O
sample2_898,Compd0682,Plate7,2,293T,10uM,24h,Protosappanin B,Cpd0682,102036-29-3,C1C2=CC(=C(C=C2C3=C(C=C(C=C3)O)OCC1(CO)O)O)O
sample2_899,Compd0683,Plate7,2,293T,10uM,24h,"Protopseudohyp
ericin",Cpd0683,54328-09-5,CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C(=C5C6=CC(=CC(=O)C6=C(C7=C(C=C(C4=C57)O)O)O)CO)C2=C1)O)O)O
sample2_9,Compd0409,Plate5,2,293T,10uM,24h,Cephalotaxine,Cpd0409,24316-19-6,COC1=CC23CCCN2CCC4=CC5=C(C=C4C3C1O)OCO5
sample2_90,Compd0490,Plate5,2,293T,10uM,24h,Ginsenoside Rg1,Cpd0490,22427-39-0,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C
sample2_900,Compd0684,Plate7,2,293T,10uM,24h,Polygalic acid,Cpd0684,1260-04-4,CC1(CCC2(CCC3=C(C2C1)CCC4C3(CCC5C4(CC(C(C5(C)C(=O)O)O)O)C)C)C(=O)O)C
sample2_901,Compd0685,Plate7,2,293T,10uM,24h,Polygalaxanthon e III,Cpd0685,162857-78-5,COC1=C(C=C2C(=C1)C(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)COC5C(C(CO5)(CO)O)O)O)O)O)O)O
sample2_902,Compd0686,Plate7,2,293T,10uM,24h,Onjisaponin B,Cpd0686,35906-36-6,CC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C)OC4C(C(C(CO4)OC5C(C(C(C(O5)CO)O)O)O)O)O)O)O)OC(=O)C67CCC(CC6C8=CCC9C(C8(CC7)CO)(CCC1C9(CC(C(C1(C)C(=O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C)C)(C)C)C)OC(=O)C=CC1=CC=C(C=C1)OC)O)O)O
sample2_903,Compd0687,Plate7,2,293T,10uM,24h,Senegenin,Cpd0687,2469-34-3,CC1(CCC2(CCC3=C(C2C1)C(CC4C3(CCC5C4(CC(C(C5(C)C(=O)O)O)O)C)C)CCl)C(=O)O)C
sample2_904,Compd0688,Plate7,2,293T,10uM,24h,Pregnenolone,Cpd0688,145-13-1,CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
sample2_905,Compd0689,Plate7,2,293T,10uM,24h,Swertiamarin,Cpd0689,17388-39-5,C=CC1C(OC=C2C1(CCOC2=O)O)OC3C(C(C(C(O3)CO)O)O)O
sample2_906,Compd0690,Plate7,2,293T,10uM,24h,Sweroside,Cpd0690,14215-86-2,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)O
sample2_907,Compd0691,Plate7,2,293T,10uM,24h,"19-Oxocinobufo
talin",Cpd0691,24512-60-5,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5(C3(CCC(C5)O)C=O)O)C)C6=COC(=O)C=C6
sample2_908,Compd0692,Plate7,2,293T,10uM,24h,(+)-Sesamin,Cpd0692,607-80-7,C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6
sample2_909,Compd0693,Plate7,2,293T,10uM,24h,Timosaponin A1,Cpd0693,68422-00-4,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC1
sample2_91,Compd0491,Plate5,2,293T,10uM,24h,Swertiajaponin,Cpd0491,6980-25-2,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C4C(C(C(C(O4)CO)O)O)O
sample2_910,Compd0694,Plate7,2,293T,10uM,24h,Timosaponin BII,Cpd0694,136656-07-0,CC1C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)OC1(CCC(C)COC8C(C(C(C(O8)CO)O)O)O)O
sample2_911,Compd0695,Plate7,2,293T,10uM,24h,Geniposide,Cpd0695,24512-63-8,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O
sample2_912,Compd0696,Plate7,2,293T,10uM,24h,"Chikusetsu
saponin IVa",Cpd0696,51415-02-2,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C
sample2_913,Compd0697,Plate7,2,293T,10uM,24h,Ginsenoside Ro,Cpd0697,34367-04-9,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
sample2_914,Compd0698,Plate7,2,293T,10uM,24h,"Raddeanoside
20",Cpd0698,335354-79-5,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)CO)C)C)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)O
sample2_915,Compd0699,Plate7,2,293T,10uM,24h,"Hederacolchisid
e A1",Cpd0699,106577-39-3,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)O
sample2_916,Compd0700,Plate7,2,293T,10uM,24h,Songorine,Cpd0700,509-24-0,CCN1CC2(CCC(C34C2CC(C31)C56C4CC(=O)C(C5)C(=C)C6O)O)C
sample2_917,DMSO,Plate7,2,293T,10uM,24h,,,,
sample2_918,DMSO,Plate7,2,293T,10uM,24h,,,,
sample2_919,DMSO,Plate7,2,293T,10uM,24h,,,,
sample2_92,Compd0492,Plate5,2,293T,10uM,24h,Ellagic acid,Cpd0492,476-66-4,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
sample2_920,DMSO,Plate7,2,293T,10uM,24h,,,,
sample2_921,DMSO,Plate7,2,293T,10uM,24h,,,,
sample2_922,DMSO,Plate7,2,293T,10uM,24h,,,,
sample2_923,JQ1,Plate7,2,293T,10uM,24h,,,,
sample2_924,JQ1,Plate7,2,293T,10uM,24h,,,,
sample2_925,JQ1,Plate7,2,293T,10uM,24h,,,,
sample2_926,JQ1,Plate7,2,293T,10uM,24h,,,,
sample2_927,JQ1,Plate7,2,293T,10uM,24h,,,,
sample2_928,JQ1,Plate7,2,293T,10uM,24h,,,,
sample2_929,Compd0601,Plate7,2,293T,10uM,24h,Fargesin,Cpd0601,31008-19-2,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC5=C(C=C4)OCO5)OC
sample2_93,Compd0493,Plate5,2,293T,10uM,24h,Cistanoside A,Cpd0493,93236-42-1,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)COC4C(C(C(C(O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)OC)O)O)O)O
sample2_930,Compd0602,Plate7,2,293T,10uM,24h,Neobavaisoflav one,Cpd0602,41060-15-5,CC(=CCC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O)C
sample2_931,Compd0603,Plate7,2,293T,10uM,24h,Neohesperidin,Cpd0603,13241-33-3,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O
sample2_932,Compd0604,Plate7,2,293T,10uM,24h,Neohesperidin dihydrochalcone,Cpd0604,20702-77-6,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O
sample2_933,Compd0605,Plate7,2,293T,10uM,24h,Neochlorogenic acid,Cpd0605,906-33-2,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
sample2_934,Compd0606,Plate7,2,293T,10uM,24h,Mesaconitine,Cpd0606,2752-64-9,CC(=O)OC12C3C(CC(C3OC(=O)C4=CC=CC=C4)(C(C1O)OC)O)C56C(CC(C7(C5C(C2C6N(C7)C)OC)COC)O)OC
sample2_935,Compd0607,Plate7,2,293T,10uM,24h,Arbutin,Cpd0607,497-76-7,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
sample2_936,Compd0608,Plate7,2,293T,10uM,24h,Ursoliic acid,Cpd0608,77-52-1,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
sample2_937,Compd0609,Plate7,2,293T,10uM,24h,Dipsanoside A,Cpd0609,889678-62-0,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C4=COC(C(C4CC=C(C=O)C5C(C(OC=C5C(=O)OC6CC7C(C6C)C(OC=C7C(=O)OC)OC8C(C(C(C(O8)CO)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C=C)C=C)OC1C(C(C(C(O1)CO)O)O)O
sample2_938,Compd0610,Plate7,2,293T,10uM,24h,Dipsanoside B,Cpd0610,889678-64-2,CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C4=COC(C(C4CC=C(C=O)C5C(C(OC=C5C(=O)OC6CC7C(C6C)C(OC=C7C(=O)OC)OC8C(C(C(C(O8)CO)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C=C)C=C)OC1C(C(C(C(O1)CO)O)O)O
sample2_939,Compd0611,Plate7,2,293T,10uM,24h,Acacetin,Cpd0611,480-44-4,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
sample2_94,Compd0494,Plate5,2,293T,10uM,24h,Cinnamic acid,Cpd0494,621-82-9,C1=CC=C(C=C1)C=CC(=O)O
sample2_940,Compd0612,Plate7,2,293T,10uM,24h,SDG,Cpd0612,158932-33-3,COC1=C(C=CC(=C1)CC(COC2C(C(C(C(O2)CO)O)O)O)C(CC3=CC(=C(C=C3)O)OC)COC4C(C(C(C(O4)CO)O)O)O)O
sample2_941,Compd0613,Plate7,2,293T,10uM,24h,(-)-Holostyligone,Cpd0613,887501-28-2,CC1C(C(=O)C2=CC(=C(C=C2C1C3=CC(=C(C=C3)O)OC)OC)OC)C
sample2_942,Compd0614,Plate7,2,293T,10uM,24h,"Kaempferol-3-O
-rutinoside",Cpd0614,17650-84-9,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O
sample2_943,Compd0615,Plate7,2,293T,10uM,24h,Tetrahydropalm atine,Cpd0615,2934-97-6,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC
sample2_944,Compd0616,Plate7,2,293T,10uM,24h,Genkwanin,Cpd0616,437-64-9,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O
sample2_945,Compd0617,Plate7,2,293T,10uM,24h,Bergenin,Cpd0617,477-90-7,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O
sample2_946,Compd0618,Plate7,2,293T,10uM,24h,Tomatidine hydrochloride,Cpd0618,6192-62-7,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)O)C)C)C)NC1.Cl
sample2_947,Compd0619,Plate7,2,293T,10uM,24h,Phellodendrine chloride,Cpd0619,104112-82-5,C[N+]12CCC3=CC(=C(C=C3C1CC4=CC(=C(C=C4C2)OC)O)O)OC.[Cl-]
sample2_948,Compd0620,Plate7,2,293T,10uM,24h,Coptisine chloride,Cpd0620,6020-18-4,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6.[Cl-]
sample2_949,Compd0621,Plate7,2,293T,10uM,24h,Berberine hydrochloride,Cpd0621,633-65-8,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-]
sample2_95,Compd0495,Plate5,2,293T,10uM,24h,Sauchinone,Cpd0495,177931-17-8,CC1CC2C3C(C1C)C4=CC5=C(C=C4OC36C(=CC2=O)OCO6)OCO5
sample2_950,Compd0622,Plate7,2,293T,10uM,24h,Leonurine hydrochloride,Cpd0622,24735-18-0,COC1=CC(=CC(=C1O)OC)C(=O)OCCCCN=C(N)N.Cl
sample2_951,Compd0623,Plate7,2,293T,10uM,24h,Yohimbine hydrochloride,Cpd0623,65-19-0,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl
sample2_952,Compd0624,Plate7,2,293T,10uM,24h,Myricitrin,Cpd0624,17912-87-7,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O
sample2_953,Compd0625,Plate7,2,293T,10uM,24h,Myricetin,Cpd0625,529-44-2,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
sample2_954,Compd0626,Plate7,2,293T,10uM,24h,Oxymatrine,Cpd0626,16837-52-8,C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-]
sample2_955,Compd0627,Plate7,2,293T,10uM,24h,Monocrotaline,Cpd0627,315-22-0,CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O
sample2_956,Compd0628,Plate7,2,293T,10uM,24h,Scutellarin,Cpd0628,27740-01-8,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O
sample2_957,Compd0629,Plate7,2,293T,10uM,24h,"Raddeanoside
R8",Cpd0629,124961-61-1,
sample2_959,Compd0631,Plate7,2,293T,10uM,24h,Eupalinolide K,Cpd0631,108657-10-9,CC1=CCC(C(=CC2C(C(C1)OC(=O)C(=CCO)C)C(=C)C(=O)O2)C)O
sample2_96,Compd0496,Plate5,2,293T,10uM,24h,Deltonin,Cpd0496,55659-75-1,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1
sample2_960,Compd0632,Plate7,2,293T,10uM,24h,Rhoifolin,Cpd0632,17306-46-6,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
sample2_961,Compd0633,Plate7,2,293T,10uM,24h,8-O-Acetylharp agide,Cpd0633,6926-14-3,CC(=O)OC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)C
sample2_962,Compd0634,Plate7,2,293T,10uM,24h,"23-O-Acetylshe ngmanol-3-O-α
-L-arabinopyran
side",Cpd0634,402513-88-6,CC(CC(C1C(O1)(C)C)OC(=O)C)C2C(=O)C(C3(C2(CCC45C3CCC6C4(C5)CCC(C6(C)C)OC7C(C(C(CO7)O)O)O)C)C)O
sample2_963,Compd0635,Plate7,2,293T,10uM,24h,Acetylshikonin,Cpd0635,24502-78-1,CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)OC(=O)C)C
sample2_964,Compd0636,Plate7,2,293T,10uM,24h,Isoferulic acid,Cpd0636,537-73-5,COC1=C(C=C(C=C1)C=CC(=O)O)O
sample2_965,Compd0637,Plate7,2,293T,10uM,24h,Isopsoralen,Cpd0637,523-50-2,C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3
sample2_966,Compd0638,Plate7,2,293T,10uM,24h,Isocurcumenol,Cpd0638,24063-71-6,CC1CCC2C13CC(=C(C)C)C(O3)(CC2=C)O
sample2_967,Compd0639,Plate7,2,293T,10uM,24h,Isoliquiritigenin,Cpd0639,961-29-5,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
sample2_968,Compd0640,Plate7,2,293T,10uM,24h,Isorhynchophyll ine,Cpd0640,6589-1-4,
sample2_969,Compd0641,Plate7,2,293T,10uM,24h,Isoorientin,Cpd0641,4261-42-1,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O
sample2_97,Compd0497,Plate5,2,293T,10uM,24h,Arenobufagin,Cpd0497,464-74-4,CC12CCC(CC1CCC3C2C(C(=O)C4(C3(CCC4C5=COC(=O)C=C5)O)C)O)O
sample2_970,Compd0642,Plate7,2,293T,10uM,24h,Isoquercitrin,Cpd0642,482-35-9,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O
sample2_971,Compd0643,Plate7,2,293T,10uM,24h,(2S)-Isoxanthohumol,Cpd0643,70872-29-6,CC(=CCC1=C2C(=C(C=C1O)OC)C(=O)CC(O2)C3=CC=C(C=C3)O)C
sample2_972,Compd0644,Plate7,2,293T,10uM,24h,Isoastragaloside II,Cpd0644,86764-11-6,CC(=O)OC1C(COC(C1O)OC2CCC34CC35CCC6(C(C(CC6(C5CC(C4C2(C)C)OC7C(C(C(C(O7)CO)O)O)O)C)O)C8(CCC(O8)C(C)(C)O)C)C)O
sample2_973,Compd0645,Plate7,2,293T,10uM,24h,Isokurarinone,Cpd0645,97938-31-3,CC(=CCC(CC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=C(C=C(C=C3)O)OC)C(=C)C)C
sample2_974,Compd0646,Plate7,2,293T,10uM,24h,"3,5-O-Dicaffeoy lquinic Acid",Cpd0646,89919-62-0,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O
sample2_975,Compd0647,Plate7,2,293T,10uM,24h,Isochlorogenic acid B,Cpd0647,14534-61-3,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
sample2_976,Compd0648,Plate7,2,293T,10uM,24h,Isochlorogenic acid C,Cpd0648,57378-72-0,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
sample2_977,Compd0649,Plate7,2,293T,10uM,24h,Isoacteoside,Cpd0649,61303-13-7,CC1C(C(C(C(O1)OC2C(C(OC(C2O)OCCC3=CC(=C(C=C3)O)O)COC(=O)C=CC4=CC(=C(C=C4)O)O)O)O)O)O
sample2_978,Compd0650,Plate7,2,293T,10uM,24h,Isomangiferin,Cpd0650,24699-16-9,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O
sample2_979,Compd0651,Plate7,2,293T,10uM,24h,Isovitexin,Cpd0651,38953-85-4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O
sample2_98,Compd0498,Plate5,2,293T,10uM,24h,"Arenobufagin
3-hemisuberate",Cpd0498,30219-16-0,CC12CCC(CC1CCC3C2C(C(=O)C4(C3(CCC4C5=COC(=O)C=C5)O)C)O)OC(=O)CCCCCCC(=O)O
